Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
torso,1.84464307992472E-07,0.0602091673197047,-0.00756677633620508,0,0,0,0.861828234635404,0.00175828937858155,-7.17209452041362E-06,-1.04810950865216E-07,0.00243043017741996,-8.18116613198071E-06,0.0020629884254432,0,0,0,0,0,0,package://alponse.SLDASM/meshes/torso.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://alponse.SLDASM/meshes/torso.STL,,torso-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
head pan,6.90709722113199E-17,0.0126296408654393,-3.7470027081099E-16,0,0,0,0.00603166260725153,1.28487529589188E-06,-3.20968370537383E-22,-4.84676140167786E-23,2.50970050357347E-06,-1.27311287363795E-21,2.95992463677993E-06,0,0,0,0,0,0,package://alponse.SLDASM/meshes/head pan.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alponse.SLDASM/meshes/head pan.STL,,head pan-1,Origin_19 head pan,Axis_19 head pan,19 head pan,continuous,0,0.05315,0.1003,1.5708,0,0,torso,0,1,0,0,0,0,0,,,,,,,,
head tilt,-6.3143E-05,0.0026149,-0.019471,0,0,0,0.055955,1.6754E-05,-2.7692E-08,-1.8059E-07,1.4999E-05,1.9449E-08,1.2538E-05,0,0,0,0,0,0,package://alponse.SLDASM/meshes/head tilt.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://alponse.SLDASM/meshes/head tilt.STL,,head tilt-1,Origin_20 head tilt,Axis_20 head tilt,20 head tilt,continuous,0,0.0360000000000001,0,1.5707963267949,0,0,head pan,1,0,0,0,0,0,0,,,,,,,,
r sho pitch,0.000435755988573185,0.00457383163193556,-0.00875981055551797,0,0,0,0.0229412691742223,6.25301332255445E-06,4.98987758199403E-07,1.17595201407971E-07,1.14452898800645E-05,1.23520764424902E-06,1.33315119424215E-05,0,0,0,0,0,0,package://alponse.SLDASM/meshes/r sho pitch.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://alponse.SLDASM/meshes/r sho pitch.STL,,sho pitch-3,Origin_1 r sho pitch,Axis_1 r sho pitch,1 r sho pitch,continuous,-0.0765999999999994,0.0531502873090934,0.0821000000000016,-1.5707963267949,0,-1.5707963267949,torso,0,0,1,0,0,0,0,,,,,,,,
r sho roll,0.0143715754849901,-0.06618082704026,0.0110310629088879,0,0,0,0.175572539814928,5.33752340165936E-05,-5.06922563651449E-07,2.10034146894803E-07,5.58997427187548E-05,1.63445036483274E-06,6.52968731046064E-05,0,0,0,0,0,0,package://alponse.SLDASM/meshes/r sho roll.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://alponse.SLDASM/meshes/r sho roll.STL,,sho roll-3,Origin_3 r sho roll,Axis_3 r sho roll,3 r sho roll,continuous,0,0.0240195526217003,-0.0285195526217007,3.14159265358979,0,0,r sho pitch,1,0,0,0,0,0,0,,,,,,,,
r elbow,0.133895780395251,0.00585875101988114,0.0969303569129149,0,0,0,0.022941269269816,1.30977406506396E-05,-1.23519658242711E-06,-1.16909872510286E-06,1.15269853150239E-05,2.90501401989279E-07,6.40508902193517E-06,0,0,0,0,0,0,package://alponse.SLDASM/meshes/r elbow.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://alponse.SLDASM/meshes/r elbow.STL,,r elbow-1,Origin_5 r elbow,Axis_5 r elbow,5 r elbow,continuous,0.0289,0,0.119,3.1416,0,-1.5708,r sho roll,1,0,0,0,0,0,0,,,,,,,,
l sho pitch,0.00259197322914158,-0.00379361022526298,0.0087598106765613,0,0,0,0.0229412689261394,7.88801316365583E-06,-2.46274955980338E-06,-6.99913370118233E-07,9.81029015753613E-06,1.02454283078454E-06,1.33315121034302E-05,0,0,0,0,0,0,package://alponse.SLDASM/meshes/l sho pitch.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://alponse.SLDASM/meshes/l sho pitch.STL,,sho pitch-1,Origin_2 l sho pitch,Axis_2 l sho pitch,2 l sho pitch,continuous,0.0765999999999993,0.0531502873090933,0.082100000000001,1.5707963267949,0,1.5707963267949,torso,0,0,1,0,0,0,0,,,,,,,,
l sho roll,-0.0465341729722751,0.0542977462025218,0.0124014874128724,0,0,0,0.175572535116807,5.38246081719085E-05,-1.13228677137868E-06,7.70763846940199E-07,5.54977956505916E-05,-1.57912719383411E-06,6.52494415397862E-05,0,0,0,0,0,0,package://alponse.SLDASM/meshes/l sho roll.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://alponse.SLDASM/meshes/l sho roll.STL,,sho roll-1,Origin_4 l sho roll,Axis_4 l sho roll,4 l sho roll,continuous,0,-0.02402,0.02852,0,0,3.1416,l sho pitch,1,0,0,0,0,0,0,,,,,,,,
l elbow,-0.135883459145391,0.0876054094315431,0.0926849227021877,0,0,0,0.0229412950721974,1.13444607438914E-05,1.27427486690144E-06,6.41901431915635E-07,1.33278631142042E-05,-5.40165788757393E-07,6.35752647318397E-06,0,0,0,0,0,0,package://alponse.SLDASM/meshes/l elbow.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://alponse.SLDASM/meshes/l elbow.STL,,l elbow-1,Origin_6 l elbow,Axis_6 l elbow,6 l elbow,continuous,0.0289,0,0.119,3.1416,0,-1.5708,l sho roll,1,0,0,0,0,0,0,,,,,,,,
r hip yaw,-6.93889390390723E-17,0.0112854851813117,-5.55111512312578E-17,0,0,0,0.0286733564050867,6.18735974650268E-06,-6.17982714155809E-20,1.99498299543965E-06,2.19139376393687E-05,-4.58111949120683E-21,2.37112326172567E-05,0,0,0,0,0,0,package://alponse.SLDASM/meshes/r hip yaw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alponse.SLDASM/meshes/r hip yaw.STL,,Bracket-2,Origin_7 r hip yaw,Axis_7 r hip yaw,7 r hip yaw,continuous,-0.0545,0.0585,-0.108,-1.5708,0,1.5708,torso,0,1,0,0,0,0,0,,,,,,,,
